1 30
8 88 140 62 74 116 69 55 59 28 60 105 88 68 60 87 56 47 67 75 109 64 0 73 116 63 67 144 70 66
65 26 89 103 91 94 137 35 61 83 56 92 15 11 71 126 63 55 87 81 96 53 73 0 115 59 25 157 42 85
112 141 82 68 43 33 121 84 62 92 64 24 118 122 57 63 63 73 49 41 22 64 116 115 0 60 135 43 73 50
57 85 81 51 31 52 99 25 5 50 4 43 67 65 14 69 9 15 29 22 47 6 63 59 60 0 76 99 21 27
60 22 115 111 105 117 135 51 76 85 72 114 36 14 85 136 77 67 100 98 118 71 67 25 135 76 0 175 62 98
142 183 122 85 72 75 128 124 99 117 103 68 161 164 91 66 99 109 78 77 66 104 144 157 43 99 175 0 115 80
63 68 69 71 52 55 117 16 24 65 19 51 47 49 35 91 28 27 50 41 55 14 70 42 73 21 62 115 0 48
63 111 99 26 7 58 81 49 24 42 30 44 94 89 13 42 22 31 2 14 48 33 66 85 50 27 98 80 48 0

0 0 0 2 14 0 152 1 2 6931 3279 12 84 0 765 5414 160 0 0 1929 0 0 0 50 0 1992 0 3549 0 252
0 0 43 968 46 0 0 4 4793 0 39 0 7375 14 17 80 3995 26 1116 14 0 2344 0 1 202 2 112 860 0 7
0 43 0 1 0 0 0 0 7 5228 201 0 49 2961 3462 285 4074 0 12 4 29 0 0 1863 0 0 23 1 1 349
2 968 1 0 0 0 6 0 1513 0 1 0 1 293 63 0 1983 1629 25 0 2558 31 2 0 3 6175 10 0 3 1795
14 46 0 0 0 0 4056 12 0 152 0 0 4162 2098 2858 56 0 349 0 1 1039 51 19 8 3851 90 892 1 0 0
0 0 0 0 0 0 3 773 336 6 7388 31 63 55 1 4 0 0 3 108 4 5875 0 22 0 2 0 0 4989 0
152 0 0 6 4056 3 0 8475 0 1 1154 5 25 138 0 51 3980 2 0 0 21 0 0 11 8 0 0 0 0 0
1 4 0 0 12 773 8475 0 0 0 237 0 0 68 0 0 1 7124 390 435 166 279 6542 0 1 3975 1046 16 0 8
2 4793 7 1513 0 336 0 0 0 0 2073 0 4 2255 7 0 0 5 0 59 3 924 801 2 21 501 1191 0 250 2859
6931 0 5228 0 152 6 1 0 0 0 0 0 685 0 3 554 1110 192 0 663 2544 3630 0 0 16 0 0 0 0 0
3279 39 201 1 0 7388 1154 237 2073 0 0 3434 0 1 601 0 60 0 13 0 0 1 3 2 7590 7633 97 1 0 0
12 0 0 0 0 31 5 0 0 0 3434 0 7 0 3 59 1 0 24 1 265 9056 1 0 105 3 0 1416 0 82
84 7375 49 1 4162 63 25 0 4 685 0 7 0 12 0 208 0 4 6467 7 0 3 8727 11 0 2286 32 552 92 514
0 14 2961 293 2098 55 138 68 2255 0 1 0 12 0 0 1815 10 12 2560 0 1 1542 5 7176 41 0 27 0 13 0
765 17 3462 63 2858 1 0 0 7 3 601 3 0 0 0 0 56 0 19 33 5159 0 20 1 0 1 4 13 627 151
5414 80 285 0 56 4 51 0 0 554 0 59 208 1815 0 0 897 6182 0 278 7766 0 1839 2436 8 8770 0 0 92 0
160 3995 4074 1983 0 0 3980 1 0 1110 60 1 0 10 56 897 0 0 7329 0 27 1902 0 3 3506 6 0 4656 1817 1465
0 26 0 1629 349 0 2 7124 5 192 0 0 4 12 0 6182 0 0 0 13 14 1 4450 2864 7139 175 2046 0 137 2185
0 1116 12 25 0 3 0 390 0 0 13 24 6467 2560 19 0 7329 0 0 0 38 1014 0 2560 0 1943 442 0 9 4613
1929 14 4 0 1 108 0 435 59 663 0 1 7 0 33 278 0 13 0 0 18 21 2134 181 736 4 0 0 541 1640
0 0 29 2558 1039 4 21 166 3 2544 0 265 0 1 5159 7766 27 14 38 18 0 0 0 20 0 2 0 0 0 0
0 2344 0 31 51 5875 0 279 924 3630 1 9056 3 1542 0 0 1902 1 1014 21 0 0 1407 6 976 58 0 151 345 0
0 0 0 2 19 0 0 6542 801 0 3 1 8727 5 20 1839 0 4450 0 2134 0 1407 0 433 7 0 0 14 0 45
50 1 1863 0 8 22 11 0 2 0 2 0 11 7176 1 2436 3 2864 2560 181 20 6 433 0 412 724 210 698 0 52
0 202 0 3 3851 0 8 1 21 16 7590 105 0 41 0 8 3506 7139 0 736 0 976 7 412 0 0 0 545 980 8110
1992 2 0 6175 90 2 0 3975 501 0 7633 3 2286 0 1 8770 6 175 1943 4 2 58 0 724 0 0 10 568 5 0
0 112 23 10 892 0 0 1046 1191 0 97 0 32 27 4 0 0 2046 442 0 0 0 0 210 0 10 0 104 1466 0
3549 860 1 0 1 0 0 16 0 0 1 1416 552 0 13 0 4656 0 0 0 0 151 14 698 545 568 104 0 35 0
0 0 1 3 0 4989 0 0 250 0 0 0 92 13 627 92 1817 137 9 541 0 345 0 0 980 5 1466 35 0 0
252 7 349 1795 0 0 0 8 2859 0 0 82 514 0 151 0 1465 2185 4613 1640 0 0 45 52 8110 0 0 0 0 0
